Ethan Michael,8,0,4.3,0.4,0.9,.429,0.4,0.9,.429,0.0,0.0,,0.6,1.3,.500,0.4,0.8,1.1,0.9,0.3,0.0,0.5,0.9,1.4,0
Chase Kammerer,14,0,3.5,0.3,0.7,.400,0.3,0.6,.500,0.0,0.1,.000,0.2,0.4,.500,0.1,0.3,0.4,0.4,0.0,0.0,0.1,0.7,0.8,0
Zach Moer,6,0,1.8,0.3,0.5,.667,0.2,0.3,.500,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.3,0.0,0.3,0.8,0
Demetrius Treadwell,34,34,33.3,5.3,11.6,.458,5.3,11.3,.468,0.0,0.3,.100,4.5,7.4,.605,3.3,5.3,8.6,1.9,1.0,0.9,2.5,1.8,15.2,0
Quincy Diggs,34,20,29.5,4.3,10.2,.422,2.8,5.7,.485,1.5,4.5,.342,2.7,4.1,.655,0.8,3.8,4.6,2.6,1.7,0.1,2.7,1.6,12.8,0
Nick Harney,30,11,21.0,3.3,6.7,.485,3.1,5.8,.529,0.2,0.9,.214,1.7,2.8,.612,1.3,2.2,3.5,0.7,0.6,0.5,1.6,2.8,8.5,0
Jake Kretzer,28,7,24.4,2.4,6.3,.383,0.6,1.2,.515,1.8,5.1,.352,0.9,1.3,.703,0.9,2.0,2.9,1.1,0.6,0.1,0.9,1.6,7.5,0
Reggie McAdams,29,14,18.9,2.1,4.4,.465,0.4,0.6,.750,1.7,3.9,.425,0.5,0.7,.750,0.7,1.4,2.1,0.4,0.4,0.2,0.2,1.3,6.3,0
Nyles Evans,34,17,20.7,1.6,4.9,.333,0.5,1.3,.378,1.1,3.5,.317,0.9,1.4,.653,0.2,1.5,1.7,1.4,0.7,0.1,1.0,1.9,5.3,0
Adedeji Ibitayo,29,20,15.1,1.9,4.0,.466,1.0,1.7,.560,0.9,2.3,.394,0.6,1.3,.447,0.8,1.4,2.2,0.5,0.5,0.4,0.6,1.4,5.2,0
Pat Forsythe,34,17,17.5,2.1,3.6,.569,2.1,3.6,.569,0.0,0.0,,0.8,1.4,.596,1.4,1.9,3.3,0.5,0.4,1.0,1.4,2.7,4.9,0
